Link,Perfil,Perk1,Fuerza,Perk2,Educacion,Perk3,Aguante,Nivel,Total
https://rivalregions.com/#slide/profile/2001521445,[SYR] Night,50.0,Fuerza,50.0,Educacion,54.0,Aguante,54.0,208
https://rivalregions.com/#slide/profile/2001572648,"Gats .,,",40.0,Fuerza,53.0,Educacion,47.0,Aguante,49.0,189
https://rivalregions.com/#slide/profile/2001632877,Don striker,39.0,Fuerza,38.0,Educacion,31.0,Aguante,51.0,159
https://rivalregions.com/#slide/profile/2001645935,Deleted,36.0,Fuerza,31.0,Educacion,32.0,Aguante,51.0,150
https://rivalregions.com/#slide/profile/2001526231,Julián Ortiz,31.0,Fuerza,30.0,Educacion,48.0,Aguante,40.0,149
https://rivalregions.com/#slide/profile/2001648350,Simplemente argentina,30.0,Fuerza,30.0,Educacion,30.0,Aguante,46.0,136
https://rivalregions.com/#slide/profile/2001651954,Fox Company,30.0,Fuerza,38.0,Educacion,30.0,Aguante,37.0,135
https://rivalregions.com/#slide/profile/2001599492,Gerardo Vargas,33.0,Fuerza,30.0,Educacion,31.0,Aguante,37.0,131
https://rivalregions.com/#slide/profile/2001433828,Jturron,31.0,Fuerza,32.0,Educacion,31.0,Aguante,33.0,127
https://rivalregions.com/#slide/profile/2001652887,Pepe Iglesias,31.0,Fuerza,30.0,Educacion,30.0,Aguante,35.0,126
https://rivalregions.com/#slide/profile/2001634623,Tfa,31.0,Fuerza,30.0,Educacion,30.0,Aguante,34.0,125
https://rivalregions.com/#slide/profile/2001652111,Rango Hynkel,30.0,Fuerza,31.0,Educacion,30.0,Aguante,33.0,124
https://rivalregions.com/#slide/profile/2001652432,Daniel Ozcoidi,31.0,Fuerza,31.0,Educacion,30.0,Aguante,32.0,124
https://rivalregions.com/#slide/profile/2001577715,Alan Yovanovich,30.0,Fuerza,30.0,Educacion,30.0,Aguante,34.0,124
https://rivalregions.com/#slide/profile/2001651934,Un Animador._. Nosepo,30.0,Fuerza,30.0,Educacion,30.0,Aguante,34.0,124
https://rivalregions.com/#slide/profile/2001652559,[PL] ¡ This is a username !,30.0,Fuerza,31.0,Educacion,31.0,Aguante,31.0,123
https://rivalregions.com/#slide/profile/2001651630,[UDMR] Ramón Espínola,31.0,Fuerza,30.0,Educacion,30.0,Aguante,31.0,122
https://rivalregions.com/#slide/profile/2001302739,David Lopez,30.0,Fuerza,30.0,Educacion,31.0,Aguante,31.0,122
https://rivalregions.com/#slide/profile/2001651967,Tobias Arambasic,30.0,Fuerza,30.0,Educacion,30.0,Aguante,32.0,122
https://rivalregions.com/#slide/profile/2001644868,Gaspar,31.0,Fuerza,30.0,Educacion,30.0,Aguante,31.0,122
https://rivalregions.com/#slide/profile/2001652912,Sebas Aspee,30.0,Fuerza,30.0,Educacion,31.0,Aguante,31.0,122
https://rivalregions.com/#slide/profile/2001652913,Gabriel Conte,30.0,Fuerza,31.0,Educacion,30.0,Aguante,31.0,122
https://rivalregions.com/#slide/profile/2001651554,Pablo Gustavo Torres,30.0,Fuerza,30.0,Educacion,30.0,Aguante,31.0,121
https://rivalregions.com/#slide/profile/2001639311,Danteminigun,30.0,Fuerza,30.0,Educacion,30.0,Aguante,31.0,121
https://rivalregions.com/#slide/profile/2001632367,Ian Tesan,31.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,121
https://rivalregions.com/#slide/profile/2001651286,Nadia Willatowski,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001651805,[A.U] Lautaro Gertel,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001382716,Deleted,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001651521,Francisco Acuña,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001651530,SCHEJTMAN Juan Martin,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001631030,Jonathan Alejandro Follmer Dominguez,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001652604,Deleted,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001651586,Nicolas Mercado,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001328481,Manuel Antelo,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001652083,C_Ignacio Angel Pesce Frandino,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001651597,Martín Menes,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120
https://rivalregions.com/#slide/profile/2001652901,TOMAS LOYOLA,30.0,Fuerza,30.0,Educacion,30.0,Aguante,30.0,120

